ID,Frame,Object category,Rectangle Coordinates
1,1,book,"[682, 262, 744, 458]"
2,1,book,"[739, 264, 797, 455]"
3,1,book,"[783, 274, 846, 457]"
4,1,teddy bear,"[376, 311, 542, 451]"
5,1,teddy bear,"[323, 607, 507, 749]"
6,2,book,"[737, 263, 793, 453]"
7,2,book,"[785, 272, 845, 455]"
8,2,teddy bear,"[372, 312, 542, 452]"
9,2,book,"[878, 289, 920, 454]"
10,3,book,"[318, 180, 423, 389]"
11,3,book,"[430, 216, 509, 403]"
12,3,book,"[465, 238, 553, 407]"
13,3,book,"[527, 272, 600, 425]"
14,3,book,"[578, 282, 652, 435]"
15,3,book,"[629, 299, 705, 443]"
16,3,book,"[622, 484, 686, 580]"
17,4,book,"[269, 156, 368, 374]"
18,4,book,"[330, 194, 414, 387]"
19,4,book,"[378, 209, 461, 397]"
20,4,book,"[418, 231, 504, 405]"
21,4,book,"[478, 269, 554, 420]"
22,4,book,"[531, 278, 604, 431]"
23,4,book,"[575, 298, 650, 439]"
24,4,book,"[578, 483, 632, 574]"
25,5,teddy bear,"[24, 247, 231, 401]"
26,5,book,"[322, 248, 419, 445]"
27,5,book,"[368, 256, 468, 453]"
28,5,book,"[418, 276, 509, 464]"
29,5,book,"[472, 314, 558, 477]"
30,5,book,"[526, 334, 603, 486]"
31,6,teddy bear,"[65, 437, 253, 572]"
32,6,book,"[463, 383, 497, 562]"
33,6,book,"[507, 404, 547, 564]"
34,7,teddy bear,"[67, 439, 249, 578]"
35,7,book,"[368, 370, 392, 581]"
36,7,book,"[389, 384, 419, 576]"
37,7,book,"[415, 385, 442, 570]"
38,7,book,"[463, 380, 497, 576]"
39,8,teddy bear,"[66, 445, 248, 590]"
40,8,book,"[462, 386, 495, 573]"
41,8,book,"[567, 430, 593, 568]"
42,9,teddy bear,"[69, 448, 246, 587]"
43,9,book,"[369, 355, 392, 601]"
44,9,book,"[391, 375, 419, 587]"
45,9,book,"[462, 385, 495, 575]"
46,10,cell phone,"[772, 301, 927, 654]"
47,10,book,"[462, 382, 494, 582]"
48,11,person,"[432, 372, 861, 755]"
49,12,person,"[282, 250, 993, 761]"
50,13,person,"[249, 196, 1075, 768]"
51,14,person,"[319, 205, 1142, 779]"
52,14,book,"[1121, 551, 1165, 689]"
53,15,person,"[340, 215, 1133, 775]"
54,15,book,"[1099, 550, 1143, 687]"
55,15,book,"[1121, 551, 1166, 689]"
56,15,book,"[1163, 556, 1218, 688]"
57,16,person,"[301, 254, 1218, 768]"
58,16,cup,"[325, 190, 498, 495]"
59,17,person,"[295, 253, 1220, 774]"
60,17,book,"[1121, 554, 1165, 693]"
61,18,person,"[392, 400, 824, 757]"
62,21,bird,"[421, 288, 1018, 765]"
63,22,bird,"[424, 291, 1008, 761]"
64,23,person,"[341, 294, 1065, 773]"
